Date,Description,Amount
2026-01-31,Nomina enero,1850.00
2026-02-03,Mercadona centro,-72.34
2026-02-09,Iberdrola luz enero,-61.40
2026-02-14,Starbucks Gran Via,-5.20
2026-02-21,Repsol estacion,-55.90
2026-02-28,Nomina febrero,1850.00
2026-03-05,Lidl compra semanal,-43.15
2026-03-11,Uber viaje aeropuerto,-18.30
2026-03-12,Uber Eats cena,-22.80
2026-03-19,Movistar fibra y movil,-49.99
2026-03-27,Renfe AVE Madrid,-78.50
2026-03-31,Nomina marzo,1850.00
2026-04-04,Carrefour compra mensual,-118.42
2026-04-10,McDonald's centro,-11.95
2026-04-16,Endesa gas,-39.20
2026-04-23,Glovo pedido,-16.40
2026-04-30,Nomina abril,1850.00
2026-05-06,Eroski supermercado,-54.10
2026-05-13,Cabify trayecto,-9.75
2026-05-18,Vodafone movil,-29.99
2026-05-24,Telepizza familiar,-24.50
2026-05-31,Nomina mayo,1850.00
2026-06-04,Mercadona centro,-81.66
2026-06-09,Naturgy luz mayo,-58.30
2026-06-15,Cepsa gasolina,-62.10
2026-06-20,Just Eat pedido,-19.90
2026-06-24,Starbucks Sol,-4.95
2026-06-27,Deliveroo cena,-27.30
